Model
3051S, Scalable Pressure Transmitter
Performance class
1, Ultra: 0.025% span accuracy - 200:1 rangedown - 15-year stability - 15-year limited warranty 
2, Classic: 0.035% span accuracy - 150:1 rangedown - 15-year stability
3, Ultra for Flow: 0.04% reading accuracy - 200:1 turndown - 15-year stability - 15-year limited warranty 
Connection type
C, Coplanar
Measurement type
D, Differential 
G, Gage
A, Absolute 
Pressure range
1A, Differential:-25 to 25 inH2O (-62.16 to 62.16 mbar)/ Guage:-25 to 25 inH2O(-62.16 to 62.16 mbar)/ Absolute:0 to 30 psia(0 to 2.07 bar)
2A, Differential:-250 to 250 inH2O (-621.60 to 621.60 mbar)/ Guage: -250 to 250 inH2O (-621.60 to 621.60 mbar)/ Absolute:0 to 150 psia(0 to 10.34 bar)
3A, Differential:-1000 to 1000 inH2O(-2.49 to 2.49 bar)/ Guage: -393 to 1000 inH2O(-0.97 to 2.49 bar)/ Absolute:0 to 800 psia(0 to 55.16 bar)
4A, Differential:-300 to 300 psi(-20.68 to 20.68 bar)/ Guage: -14.2 to 300 psig(-0.97 to 20.68 bar)/ Absolute:0 to 4000 psia(0 to 275.79 bar)
5A, Differential:-2000 to 2000 psi(-137.89 to 137.89 bar)/ Guage: -14.2 to 2000 psig(-0.97 to 137.89 bar)/ Absolute:N/A
0A, Differential:-3 to 3 inH2O(-7.46 to 7.46 mbar)/ Guage: N/A/ Absolute:0 to 5 psia(0 to 0.34 bar)
Isolating diaphragm
2,316L SST 
3,Alloy C-276
4,Alloy 400
5,Tantalum
6,Gold-plated Alloy 400 (includes graphite-filled PTFE O-ring)
7,Gold-plated 316L SST
Process connection
0, None (no process flange)
A11, Assemble to Rosemount 305 integral manifold
A12, Assemble to Rosemount 304 or AMF manifold and SST traditional flange
A15, Assemble to Rosemount 304 or AMF manifold to SST traditional flange with Alloy C-276 drain vents
A16, Assemble to 304 or AMF manifold to DIN SST traditional flange
A22, Assemble to Rosemount 304 or AMF manifold to SST coplanar flange
B11, Assemble to one Rosemount 1199 seal N/A SST N/A N/A
